ds,merchant_city,total_transactions,fraud_transactions,fraud_rate_percent
2002-12-02,Peoria,1,0,0.0
2002-12-23,Jefferson City,3,0,0.0
2002-12-07,Chicago,2,0,0.0
2002-11-25,Mira Loma,1,0,0.0
2002-09-21,Mira Loma,4,0,0.0
2002-09-27,Monterey Park,3,0,0.0
2002-11-25,Diamond Bar,1,0,0.0
2002-12-07,Mira Loma,1,0,0.0
2002-09-05,La Verne,8,0,0.0
2002-12-07,La Verne,1,0,0.0
2002-09-29,La Verne,9,0,0.0
2003-05-15,Carrizo Springs,1,0,0.0
2002-09-08,Mira Loma,4,0,0.0
2002-09-05,Monterey Park,4,0,0.0
2002-11-25,La Verne,3,0,0.0
2002-09-08,La Verne,8,0,0.0
2002-09-04,Monterey Park,8,0,0.0
2002-09-25,La Verne,12,0,0.0
2002-09-22,La Verne,12,0,0.0
2002-11-10,La Verne,7,0,0.0
2002-09-07,Monterey Park,8,0,0.0
2002-10-01,La Verne,6,0,0.0
2002-09-25,Monterey Park,3,0,0.0
2002-09-08,Monterey Park,4,0,0.0
2002-09-15,La Verne,12,0,0.0
2002-09-12,La Verne,16,0,0.0
2002-09-09,ONLINE,4,0,0.0
2002-09-30,La Verne,6,0,0.0
2002-09-10,Mira Loma,8,0,0.0
2002-12-02,La Verne,3,0,0.0
2002-11-25,Monterey Park,1,0,0.0
2002-11-10,Monterey Park,1,0,0.0
2002-09-21,Monterey Park,8,0,0.0
2002-09-23,La Verne,11,0,0.0
2002-12-07,Peoria,2,0,0.0
2002-09-27,La Verne,6,0,0.0
2002-09-28,La Verne,12,0,0.0
2002-10-03,La Verne,3,0,0.0
2002-09-15,Diamond Bar,4,0,0.0
2002-11-10,Mira Loma,1,0,0.0
2002-09-30,ONLINE,3,0,0.0
2002-12-23,Waynesville,1,0,0.0
2002-09-05,ONLINE,4,0,0.0
2002-10-01,Monterey Park,3,0,0.0
2002-09-17,La Verne,8,0,0.0
2002-12-02,Chicago,3,0,0.0
2002-09-30,Mira Loma,3,0,0.0
2002-10-03,Monterey Park,6,0,0.0
2003-05-15,Mira Loma,1,0,0.0
2002-09-20,La Verne,8,0,0.0
2002-09-11,La Verne,12,0,0.0
2002-12-23,Monterey Park,2,0,0.0
2002-09-22,Mira Loma,4,0,0.0
2002-12-23,La Verne,1,0,0.0
2002-09-09,La Verne,16,0,0.0
2002-09-29,Mira Loma,3,0,0.0
2003-05-15,Eagle Pass,2,0,0.0
2002-09-11,Mira Loma,12,0,0.0
2002-09-02,Monterey Park,8,0,0.0
2002-12-02,Monterey Park,1,0,0.0
2002-09-10,La Verne,8,0,0.0
2003-05-15,Austin,2,0,0.0
2002-09-07,La Verne,4,0,0.0
2002-09-01,La Verne,5,0,0.0
2002-10-25,Diamond Bar,1,0,0.0
2002-10-07,La Verne,2,0,0.0
2003-05-11,Eagle Pass,1,0,0.0
2002-10-31,Monterey Park,1,0,0.0
2002-12-28,Mira Loma,1,0,0.0
2003-04-10,Monterey Park,1,0,0.0
2003-03-07,La Verne,5,0,0.0
2002-12-28,Diamond Bar,1,0,0.0
2003-05-11,Austin,1,0,0.0
2002-09-03,Monterey Park,4,0,0.0
2003-04-10,La Verne,2,0,0.0
2003-01-09,Mira Loma,4,0,0.0
2002-09-16,La Verne,8,0,0.0
2002-09-03,La Verne,4,0,0.0
2003-05-03,Monterey Park,2,0,0.0
2002-11-01,Mira Loma,2,0,0.0
2002-12-28,La Verne,2,0,0.0
2002-09-24,La Verne,3,0,0.0
2002-09-01,Monterey Park,5,0,0.0
2002-12-25,Waynesville,2,0,0.0
2002-10-16,Tilden,2,0,0.0
2002-11-01,Monterey Park,1,0,0.0
2002-09-19,La Verne,8,0,0.0
2002-10-04,La Verne,3,0,0.0
2002-09-26,La Verne,3,0,0.0
2002-10-31,La Verne,1,0,0.0
2002-09-13,La Verne,8,0,0.0
2002-10-16,La Verne,1,0,0.0
2002-10-16,Monterey Park,1,0,0.0
2002-10-02,Mira Loma,3,0,0.0
2003-05-11,La Verne,3,0,0.0
2002-12-25,Jefferson City,2,0,0.0
2003-03-02,La Verne,4,0,0.0
2002-09-14,La Verne,8,0,0.0
2002-10-25,Monterey Park,1,0,0.0
2002-11-01,La Verne,1,0,0.0
2002-10-25,La Verne,2,0,0.0
2003-04-10,ONLINE,1,0,0.0
2002-12-28,Monterey Park,1,0,0.0
2002-09-18,La Verne,8,0,0.0
2003-04-10,Mira Loma,1,0,0.0
2003-05-03,La Verne,3,0,0.0
2002-10-31,Mira Loma,3,0,0.0
2002-09-06,Mira Loma,4,0,0.0
2002-10-15,Lincoln,5,0,0.0
2002-10-05,La Verne,6,0,0.0
2002-10-13,La Verne,5,0,0.0
2002-12-30,La Verne,3,0,0.0
2003-01-24,La Verne,2,0,0.0
2003-03-23,Mira Loma,1,0,0.0
2002-10-06,ONLINE,3,0,0.0
2002-11-15,La Verne,2,0,0.0
2002-11-04,La Verne,3,0,0.0
2002-12-26,La Verne,1,0,0.0
2003-03-01,La Verne,2,0,0.0
2003-01-07,La Verne,1,0,0.0
2002-10-21,La Verne,1,0,0.0
2002-12-26,Monterey Park,2,0,0.0
2003-01-02,La Verne,3,0,0.0
2002-10-24,La Verne,4,0,0.0
2002-11-15,Monterey Park,1,0,0.0
2003-03-23,La Verne,3,0,0.0
2003-02-12,La Verne,3,0,0.0
2003-01-24,ONLINE,1,0,0.0
2002-12-24,ONLINE,1,0,0.0
2003-06-01,Mira Loma,1,0,0.0
2002-11-19,La Verne,2,0,0.0
2002-10-21,Mira Loma,3,0,0.0
2002-11-19,Monterey Park,1,0,0.0
2003-01-24,Mira Loma,1,0,0.0
2002-12-12,La Verne,2,0,0.0
2003-05-25,La Verne,4,0,0.0
2002-10-11,La Verne,3,0,0.0
2002-10-11,Monterey Park,1,0,0.0
2003-06-01,La Verne,2,0,0.0
2002-11-20,La Verne,3,0,0.0
2003-05-30,Mira Loma,2,0,0.0
2002-11-15,Ontario,1,0,0.0
2003-03-01,Monterey Park,1,0,0.0
2002-12-12,Monterey Park,1,0,0.0
2003-06-02,La Verne,2,0,0.0
2003-06-01,Monterey Park,1,0,0.0
2002-12-13,La Verne,3,0,0.0
2003-02-10,La Verne,4,0,0.0
2002-12-20,Mira Loma,2,0,0.0
2003-01-20,La Verne,2,0,0.0
2002-11-23,Monterey Park,1,0,0.0
2002-11-23,La Verne,3,0,0.0
2003-05-25,ONLINE,1,0,0.0
2003-01-07,Monterey Park,2,0,0.0
2002-11-27,La Verne,3,0,0.0
2002-12-24,Jefferson City,4,0,0.0
2002-11-09,La Verne,2,0,0.0
2002-11-17,La Verne,2,0,0.0
2003-01-08,La Verne,2,0,0.0
2003-02-23,La Verne,2,0,0.0
2002-11-02,La Verne,2,0,0.0
2003-02-02,Playa Vista,1,0,0.0
2002-10-23,La Verne,2,0,0.0
2002-12-08,ONLINE,1,0,0.0
2002-12-19,Mira Loma,1,0,0.0
2003-01-06,Mira Loma,2,0,0.0
2003-03-28,Rosemead,1,0,0.0
2002-10-14,San Diego,1,0,0.0
2003-01-29,Monterey Park,1,0,0.0
2003-04-13,La Verne,3,0,0.0
2003-01-06,La Verne,1,0,0.0
2002-11-09,Mira Loma,1,0,0.0
2002-10-26,La Verne,2,0,0.0
2003-01-30,Mira Loma,2,0,0.0
2002-10-08,La Verne,2,0,0.0
2002-10-14,Tilden,1,0,0.0
2003-04-16,La Verne,2,0,0.0
2003-02-13,La Verne,2,0,0.0
2003-01-29,Mira Loma,1,0,0.0
2002-12-08,La Verne,3,0,0.0
2002-12-19,Monterey Park,1,0,0.0
2002-10-08,Mira Loma,1,0,0.0
2002-10-26,Monterey Park,1,0,0.0
2002-10-14,La Verne,1,0,0.0
2003-04-01,Ontario,1,0,0.0
2003-03-28,La Verne,2,0,0.0
2003-04-20,La Verne,2,0,0.0
2003-01-12,La Verne,2,0,0.0
2003-01-12,Mira Loma,1,0,0.0
2003-04-01,La Verne,2,0,0.0
2002-12-16,ONLINE,2,0,0.0
2003-01-29,La Verne,1,0,0.0
2003-02-02,La Verne,1,0,0.0
2002-11-22,La Verne,3,0,0.0
2002-11-02,Monterey Park,1,0,0.0
2003-01-19,La Verne,2,0,0.0
2003-02-02,Bell Gardens,1,0,0.0
2002-12-19,La Verne,1,0,0.0
2003-04-14,La Verne,2,0,0.0
2003-04-03,La Verne,2,0,0.0
2003-03-24,La Verne,2,0,0.0
2002-10-28,La Verne,2,0,0.0
2002-12-10,La Verne,2,0,0.0
2003-04-18,La Verne,2,0,0.0
2003-01-25,La Verne,2,0,0.0
2003-04-04,La Verne,2,0,0.0
2002-12-03,Chicago,2,0,0.0
2002-12-15,La Verne,1,0,0.0
2003-05-14,Austin,2,0,0.0
2002-12-15,Monterey Park,1,0,0.0
2003-02-16,La Verne,2,0,0.0
2003-05-18,La Verne,2,0,0.0
2002-12-15,Mira Loma,1,0,0.0
2002-12-10,ONLINE,1,0,0.0
2003-05-19,La Verne,2,0,0.0
2003-03-05,La Verne,2,0,0.0
2003-02-06,Bell Gardens,1,0,0.0
2002-11-24,La Verne,2,0,0.0
2003-02-06,Manhattan Beach,1,0,0.0
2002-11-14,La Verne,2,0,0.0
2003-02-18,La Verne,2,0,0.0
2002-10-18,La Verne,2,0,0.0
2003-02-28,La Verne,2,0,0.0
2002-11-08,La Verne,2,0,0.0
2003-03-04,La Verne,2,0,0.0
2002-11-03,La Verne,2,0,0.0
2003-03-14,La Verne,2,0,0.0
2002-11-30,La Verne,2,0,0.0
2002-10-19,La Verne,2,0,0.0
2003-03-21,La Verne,2,0,0.0
2002-11-11,La Verne,2,0,0.0
2002-11-16,La Verne,2,0,0.0
2003-01-27,Monterey Park,1,0,0.0
2002-11-28,La Verne,1,0,0.0
2003-06-06,Monterey Park,1,0,0.0
2003-06-03,La Verne,1,0,0.0
2002-10-30,Monterey Park,1,0,0.0
2002-12-01,La Verne,1,0,0.0
2003-03-30,Monterey Park,1,0,0.0
2002-11-05,Monterey Park,1,0,0.0
2002-11-05,ONLINE,1,0,0.0
2003-05-26,La Verne,1,0,0.0
2003-04-12,La Verne,1,0,0.0
2002-12-27,Monterey Park,1,0,0.0
2003-02-04,Playa Vista,1,0,0.0
2002-12-21,Monterey Park,1,0,0.0
2002-12-01,Monterey Park,1,0,0.0
2003-05-21,La Verne,1,0,0.0
2002-12-11,ONLINE,1,0,0.0
2002-11-07,Monterey Park,1,0,0.0
2002-11-29,La Verne,1,0,0.0
2003-05-01,ONLINE,1,0,0.0
2003-05-26,Monterey Park,1,0,0.0
2002-11-05,Mira Loma,1,0,0.0
2002-12-27,La Verne,1,0,0.0
2002-10-09,ONLINE,1,0,0.0
2003-04-19,Monterey Park,1,0,0.0
2003-05-04,La Verne,1,0,0.0
2003-04-19,La Verne,1,0,0.0
2003-05-17,La Verne,1,0,0.0
2003-05-09,Spring Valley,1,0,0.0
2003-01-27,Mira Loma,1,0,0.0
2003-06-03,Monterey Park,1,0,0.0
2002-11-28,Monterey Park,1,0,0.0
2003-05-17,Monterey Park,1,0,0.0
2002-10-09,Monterey Park,1,0,0.0
2003-04-12,Mira Loma,1,0,0.0
2002-11-07,La Verne,1,0,0.0
2002-10-29,Mira Loma,1,0,0.0
2002-12-11,La Verne,1,0,0.0
2003-01-04,Monterey Park,1,0,0.0
2002-10-30,La Verne,1,0,0.0
2003-05-04,Monterey Park,1,0,0.0
2002-10-29,Monterey Park,1,0,0.0
2002-12-21,La Verne,1,0,0.0
2003-06-06,La Verne,2,0,0.0
2003-04-12,ONLINE,1,0,0.0
2003-01-04,La Verne,1,0,0.0
2002-10-09,Mira Loma,1,0,0.0
2002-11-29,Monterey Park,1,0,0.0
2003-05-02,Monterey Park,1,0,0.0
2003-05-23,Monterey Park,1,0,0.0
2003-05-09,Mira Loma,1,0,0.0
2002-12-11,Mira Loma,1,0,0.0
2003-03-30,La Verne,1,0,0.0
2003-02-04,Manhattan Beach,1,0,0.0
2003-05-01,La Verne,1,0,0.0
2003-04-02,Monterey Park,1,0,0.0
2003-05-23,La Verne,1,0,0.0
2003-05-21,Monterey Park,1,0,0.0
2003-05-02,Mira Loma,1,0,0.0
2003-05-01,Monterey Park,1,0,0.0
2003-04-02,La Verne,1,0,0.0
2003-03-10,Fontanelle,1,0,0.0
2003-01-23,Mira Loma,1,0,0.0
2003-06-16,Monterey Park,1,0,0.0
2003-03-22,Monterey Park,1,0,0.0
2003-03-12,Sioux City,1,0,0.0
2002-11-18,Mira Loma,1,0,0.0
2003-02-17,ONLINE,1,0,0.0
2003-04-28,Mira Loma,1,0,0.0
2003-04-21,La Verne,1,0,0.0
2003-04-21,Mira Loma,1,0,0.0
2003-06-14,ONLINE,2,0,0.0
2002-10-27,Mira Loma,1,0,0.0
2003-01-21,Monterey Park,1,0,0.0
2003-05-27,La Verne,1,0,0.0
2003-01-10,ONLINE,1,0,0.0
2003-04-23,La Verne,1,0,0.0
2003-03-31,Monterey Park,1,0,0.0
2003-03-15,La Verne,1,0,0.0
2003-03-31,La Verne,1,0,0.0
2003-03-13,La Verne,1,0,0.0
2003-03-13,Onawa,1,0,0.0
2002-11-26,La Verne,1,0,0.0
2003-04-30,La Verne,1,0,0.0
2002-10-27,La Verne,1,0,0.0
2003-05-29,Monterey Park,1,0,0.0
2003-04-30,Mira Loma,1,0,0.0
2003-03-10,Massena,1,0,0.0
2002-11-26,Calexico,1,0,0.0
2003-06-29,Mira Loma,2,0,0.0
2003-04-28,La Verne,1,0,0.0
2003-05-27,Mira Loma,1,0,0.0
2002-11-18,La Verne,1,0,0.0
2003-05-29,ONLINE,1,0,0.0
2003-03-12,Onawa,1,0,0.0
2003-04-17,La Verne,1,0,0.0
2003-03-15,Monterey Park,1,0,0.0
2003-02-17,La Verne,1,0,0.0
2003-04-17,Mira Loma,1,0,0.0
2003-01-10,La Verne,1,0,0.0
2003-06-13,Monterey Park,1,0,0.0
2003-04-23,Monterey Park,1,0,0.0
2003-01-23,La Verne,1,0,0.0
2003-06-18,Monterey Park,1,0,0.0
2003-03-26,Monterey Park,1,0,0.0
2003-06-29,Monterey Park,1,0,0.0
2003-06-28,Monterey Park,1,0,0.0
2003-03-11,Estherville,1,0,0.0
2003-01-15,Diamond Bar,1,0,0.0
2002-12-22,Monterey Park,1,0,0.0
2003-06-24,Mira Loma,2,0,0.0
2003-05-20,Monterey Park,1,0,0.0
2003-06-22,Monterey Park,1,0,0.0
2003-06-21,Monterey Park,1,0,0.0
2002-12-14,Monterey Park,1,0,0.0
2003-05-24,Monterey Park,1,0,0.0
2003-07-27,Mira Loma,1,0,0.0
2003-07-23,Monterey Park,1,0,0.0
2003-06-20,Monterey Park,1,0,0.0
2003-07-15,Monterey Park,1,0,0.0
2003-06-12,Monterey Park,1,0,0.0
2003-01-03,Monterey Park,1,0,0.0
2003-07-20,Monterey Park,1,0,0.0
2003-07-13,La Verne,1,0,0.0
2003-01-13,La Verne,1,0,0.0
2003-06-09,La Verne,1,0,0.0
2003-03-20,Mira Loma,1,0,0.0
2003-06-05,La Verne,1,0,0.0
2003-06-08,La Verne,1,0,0.0
2002-11-13,La Verne,1,0,0.0
2003-06-10,Mira Loma,1,0,0.0
2003-02-09,Mira Loma,1,0,0.0
2002-10-12,La Verne,1,0,0.0
2002-12-18,Mira Loma,1,0,0.0
2003-06-20,Mira Loma,1,0,0.0
2003-02-25,Zurich,1,0,0.0
2003-03-17,La Verne,1,0,0.0
2003-06-13,Mira Loma,1,0,0.0
2003-07-03,Mira Loma,1,0,0.0
2003-01-05,La Verne,1,0,0.0
2003-02-19,La Verne,1,0,0.0
2003-06-28,La Verne,1,0,0.0
2003-07-26,La Verne,1,0,0.0
2002-12-31,La Verne,1,0,0.0
2003-06-22,La Verne,1,0,0.0
2003-06-30,La Verne,1,0,0.0
2003-05-07,La Verne,1,0,0.0
2003-06-18,La Verne,1,0,0.0
2003-03-08,La Verne,1,0,0.0
2003-06-27,La Verne,1,0,0.0
2003-02-14,La Verne,1,0,0.0
2003-06-20,La Verne,1,0,0.0
2002-10-17,La Verne,1,0,0.0
2003-04-22,La Verne,1,0,0.0
2002-10-22,La Verne,1,0,0.0
2003-06-23,La Verne,1,0,0.0
2003-07-24,La Verne,1,0,0.0
2002-12-09,La Verne,1,0,0.0
2003-04-11,La Verne,1,0,0.0
2003-06-11,La Verne,1,0,0.0
2003-01-31,La Verne,1,0,0.0
2003-01-22,La Verne,1,0,0.0
2003-05-06,La Verne,1,0,0.0
2003-04-06,La Verne,1,0,0.0
2003-07-06,Mira Loma,1,0,0.0
2003-07-22,La Verne,1,0,0.0
2003-07-06,La Verne,1,0,0.0
2003-04-27,La Verne,1,0,0.0
2003-07-23,La Verne,1,0,0.0
2003-01-16,La Verne,1,0,0.0
2003-03-09,La Verne,1,0,0.0
2003-06-10,La Verne,1,0,0.0
2003-03-03,La Verne,1,0,0.0
2002-12-29,La Verne,1,0,0.0
2003-03-19,La Verne,1,0,0.0
2002-12-04,Chicago,1,0,0.0
2002-12-05,Chicago,1,0,0.0
2003-07-20,La Verne,1,0,0.0
2003-06-19,La Verne,1,0,0.0
2002-12-06,Chicago,1,0,0.0
2003-03-18,La Verne,1,0,0.0
2003-07-18,La Verne,1,0,0.0
2003-02-24,Zurich,1,0,0.0
2003-02-07,La Verne,1,0,0.0
2003-01-26,La Verne,1,0,0.0
2002-10-10,La Verne,1,0,0.0
2002-10-20,La Verne,1,0,0.0
2003-04-26,La Verne,1,0,0.0
2003-06-12,La Verne,1,0,0.0
2003-04-15,La Verne,1,0,0.0
2003-07-14,ONLINE,1,0,0.0
