ds,user_id,transaction_count,total_spent_vnd,avg_transaction_vnd,unique_merchants,unique_cities,error_count
2002-09-11,0,24,3.5698172E7,1487423.8333333333,4,2,0
2002-09-09,0,20,3.2328728E7,1616436.4,4,2,0
2002-09-10,0,16,3.456204E7,2160127.5,4,2,0
2002-09-15,0,16,3.7736684E7,2358542.75,4,2,0
2002-09-08,0,16,2.8885584E7,1805349.0,4,3,0
2002-09-22,0,16,2.724614E7,1702883.75,4,2,0
2002-09-05,0,16,2.61974E7,1637337.5,4,3,0
2002-09-12,0,16,2.8272772E7,1767048.25,2,1,0
2002-09-25,0,15,2.0327205E7,1355147.0,3,2,0
2002-09-30,0,12,2.0279823E7,1689985.25,4,3,0
2002-09-21,0,12,2.0704156E7,1725346.3333333333,3,2,0
2002-09-28,0,12,3.3873144E7,2822762.0,4,1,0
2002-09-07,0,12,2.0184004E7,1682000.3333333333,3,2,0
2002-09-29,0,12,3.5252775E7,2937731.25,2,2,0
2002-09-23,0,11,2.4287085E7,2207916.8181818184,3,1,0
2002-09-01,0,10,2.271345E7,2271345.0,2,2,0
2002-10-01,0,9,1.4650749E7,1627861.0,3,2,0
2002-09-27,0,9,2.2153809E7,2461534.3333333335,3,2,0
2002-10-03,0,9,1.4660229E7,1628914.3333333333,3,2,0
2002-11-10,0,9,1.0854338E7,1206037.5555555555,4,3,0
2002-09-19,0,8,2.329126E7,2911407.5,2,1,0
2002-09-03,0,8,2.010082E7,2512602.5,2,2,0
2002-09-18,0,8,2.3285996E7,2910749.5,2,1,0
2002-09-14,0,8,1.8650908E7,2331363.5,2,1,0
2002-09-17,0,8,2.9473128E7,3684141.0,1,1,0
2002-09-13,0,8,1.8026508E7,2253313.5,2,1,0
2002-09-16,0,8,1.6804032E7,2100504.0,2,1,0
2002-09-04,0,8,2.288482E7,2860602.5,1,1,0
2002-09-02,0,8,2.6248996E7,3281124.5,2,1,0
2002-09-20,0,8,2.363452E7,2954315.0,1,1,0
2002-12-02,0,8,1.846085E7,2307606.25,6,4,0
2002-12-23,0,7,1.7252589E7,2464655.5714285714,7,4,0
2002-11-25,0,6,9539991.0,1589998.5,4,4,0
2002-12-07,0,6,2690551.0,448425.1666666667,4,4,0
2002-10-05,0,6,5527989.0,921331.5,2,1,0
2003-05-15,0,6,-3281782.0,-546963.6666666666,4,4,0
2002-10-31,0,5,6167919.0,1233583.8,3,3,0
2003-03-07,0,5,4052016.0,810403.2,3,1,0
2003-05-11,0,5,1.8689077E7,3737815.4,3,3,0
2002-10-15,0,5,6512761.0,1302552.2,3,1,0
2003-04-10,0,5,8984824.0,1796964.8,4,4,0
2002-12-28,0,5,8239600.0,1647920.0,5,4,0
2002-12-24,0,5,6285060.0,1257012.0,5,2,0
2003-05-25,0,5,6582519.0,1316503.8,5,2,0
2002-10-13,0,5,5897312.0,1179462.4,3,1,0
2003-05-03,0,5,8382536.0,1676507.2,5,2,0
2002-12-08,0,4,1.1731709E7,2932927.25,4,2,0
2003-01-24,0,4,1.9216605E7,4804151.25,4,3,0
2002-09-06,0,4,1.1621412E7,2905353.0,1,1,0
2003-02-10,0,4,6900509.0,1725127.25,4,1,0
2002-10-21,0,4,2442055.0,610513.75,2,2,0
2002-11-15,0,4,9229109.0,2307277.25,4,3,0
2002-12-25,0,4,2989589.0,747397.25,3,2,0
2003-01-09,0,4,5273701.0,1318425.25,1,1,0
2002-10-24,0,4,4763810.0,1190952.5,2,1,0
2002-10-11,0,4,1.203759E7,3009397.5,4,2,0
2002-10-16,0,4,1.2123932E7,3030983.0,3,3,0
2003-03-23,0,4,6008923.0,1502230.75,4,2,0
2002-11-23,0,4,1.1430037E7,2857509.25,4,2,0
2003-06-01,0,4,5097332.0,1274333.0,4,3,0
2002-10-25,0,4,7814733.0,1953683.25,4,3,0
2002-11-01,0,4,6555668.0,1638917.0,4,3,0
2003-03-02,0,4,1.1908867E7,2977216.75,2,1,0
2003-01-12,0,3,4890164.0,1630054.6666666667,3,2,0
2002-11-02,0,3,4619556.0,1539852.0,3,2,0
2002-09-24,0,3,8897691.0,2965897.0,1,1,0
2003-05-01,0,3,7053450.0,2351150.0,3,3,0
2002-11-20,0,3,5223950.0,1741316.6666666667,3,1,0
2002-12-26,0,3,5512195.0,1837398.3333333333,2,2,0
2002-11-09,0,3,1.1093883E7,3697961.0,3,2,0
2002-11-22,0,3,8246707.0,2748902.3333333335,3,1,0
2003-04-01,0,3,6447740.0,2149246.6666666665,3,2,0
2003-06-20,0,3,3381550.0,1127183.3333333333,3,3,0
2002-12-12,0,3,8741856.0,2913952.0,3,2,0
2003-02-02,0,3,3950932.0,1316977.3333333333,3,3,0
2002-10-08,0,3,7421194.0,2473731.3333333335,3,2,0
2003-03-01,0,3,5707780.0,1902593.3333333333,3,2,0
2002-12-19,0,3,5292391.0,1764130.3333333333,3,3,0
2002-11-19,0,3,7456731.0,2485577.0,3,2,0
2002-10-02,0,3,1.1003856E7,3667952.0,1,1,0
2003-01-07,0,3,6685707.0,2228569.0,2,2,0
2003-04-13,0,3,3015386.0,1005128.6666666666,3,1,0
2003-01-29,0,3,8437028.0,2812342.6666666665,3,3,0
2002-10-26,0,3,9853508.0,3284502.6666666665,3,2,0
2002-12-30,0,3,3175171.0,1058390.3333333333,3,1,0
2003-01-02,0,3,6270055.0,2090018.3333333333,2,1,0
2003-06-06,0,3,7892125.0,2630708.3333333335,3,2,0
2002-09-26,0,3,7373547.0,2457849.0,1,1,0
2002-11-04,0,3,5494821.0,1831607.0,3,1,0
2003-03-28,0,3,2.3648999E7,7882999.666666667,3,2,0
2002-11-05,0,3,7452781.0,2484260.3333333335,3,3,0
2003-06-29,0,3,8114298.0,2704766.0,2,2,0
2002-10-14,0,3,3.5736339E7,1.1912113E7,3,3,0
2002-11-27,0,3,1.0375771E7,3458590.3333333335,3,1,0
2002-10-09,0,3,5326612.0,1775537.3333333333,3,3,0
2003-01-06,0,3,7111626.0,2370542.0,3,2,0
2002-12-11,0,3,9933533.0,3311177.6666666665,3,3,0
2002-12-10,0,3,8119826.0,2706608.6666666665,3,2,0
2003-04-12,0,3,6477750.0,2159250.0,3,3,0
2002-12-15,0,3,4833305.0,1611101.6666666667,3,3,0
2002-12-13,0,3,5985232.0,1995077.3333333333,3,1,0
2003-02-12,0,3,5470603.0,1823534.3333333333,2,1,0
2002-10-06,0,3,1.1007804E7,3669268.0,1,1,0
2002-10-04,0,3,9071430.0,3023810.0,1,1,0
2002-10-07,0,2,7052660.0,3526330.0,1,1,0
2003-05-09,0,2,2549719.0,1274859.5,2,2,0
2003-02-17,0,2,6949735.0,3474867.5,2,2,0
2003-01-04,0,2,4612712.0,2306356.0,2,2,0
2003-06-22,0,2,4286560.0,2143280.0,2,2,0
2003-05-14,0,2,1068481.0,534240.5,2,1,0
2003-05-19,0,2,2909038.0,1454519.0,2,1,0
2003-04-30,0,2,6030246.0,3015123.0,2,2,0
2002-12-21,0,2,2901668.0,1450834.0,2,2,0
2003-05-30,0,2,4366322.0,2183161.0,1,1,0
2003-01-27,0,2,4143359.0,2071679.5,2,2,0
2002-12-01,0,2,5382945.0,2691472.5,2,2,0
2003-02-13,0,2,3365229.0,1682614.5,2,1,0
2002-11-18,0,2,5982074.0,2991037.0,2,2,0
2002-11-16,0,2,5088119.0,2544059.5,2,1,0
2003-07-06,0,2,2602366.0,1301183.0,2,2,0
2003-05-29,0,2,1826343.0,913171.5,2,2,0
2003-03-04,0,2,5568001.0,2784000.5,2,1,0
2003-07-23,0,2,1171933.0,585966.5,2,2,0
2003-05-23,0,2,3077773.0,1538886.5,2,2,0
2002-11-14,0,2,6970794.0,3485397.0,2,1,0
2002-10-27,0,2,4424497.0,2212248.5,2,2,0
2003-04-19,0,2,1358833.0,679416.5,2,2,0
2003-06-14,0,2,1934796.0,967398.0,1,1,0
2002-11-08,0,2,4334206.0,2167103.0,2,1,0
2002-12-03,0,2,2585782.0,1292891.0,2,1,0
2003-06-28,0,2,1513353.0,756676.5,2,2,0
2003-06-03,0,2,3941719.0,1970859.5,2,2,0
2003-04-04,0,2,1761586.0,880793.0,2,1,0
2003-03-10,0,2,1835819.0,917909.5,2,2,0
2003-03-31,0,2,2645801.0,1322900.5,2,2,0
2003-06-13,0,2,4685102.0,2342551.0,2,2,0
2003-04-16,0,2,4996512.0,2498256.0,2,1,0
2003-03-05,0,2,4639826.0,2319913.0,2,1,0
2003-04-18,0,2,7030286.0,3515143.0,2,1,0
2003-03-15,0,2,2313068.0,1156534.0,2,2,0
2002-11-11,0,2,6759941.0,3379970.5,2,1,0
2003-05-04,0,2,4138884.0,2069442.0,2,2,0
2003-02-06,0,2,1444911.0,722455.5,2,2,0
2003-04-23,0,2,3705858.0,1852929.0,2,2,0
2003-01-30,0,2,865262.0,432631.0,2,1,0
2003-02-23,0,2,918699.0,459349.5,2,1,0
2002-11-24,0,2,5099701.0,2549850.5,2,1,0
2003-06-12,0,2,2661068.0,1330534.0,2,2,0
2002-10-28,0,2,4191532.0,2095766.0,2,1,0
2002-11-30,0,2,3405241.0,1702620.5,2,1,0
2002-12-20,0,2,5661977.0,2830988.5,1,1,0
2003-03-24,0,2,2737934.0,1368967.0,2,1,0
2003-03-21,0,2,4105979.0,2052989.5,2,1,0
2003-05-27,0,2,4606394.0,2303197.0,2,2,0
2002-10-19,0,2,4060176.0,2030088.0,2,1,0
2003-05-02,0,2,1631020.0,815510.0,2,2,0
2002-11-03,0,2,8704213.0,4352106.5,2,1,0
2003-01-23,0,2,4760652.0,2380326.0,2,2,0
2003-02-04,0,2,2304645.0,1152322.5,2,2,0
2002-10-23,0,2,5776484.0,2888242.0,2,1,0
2003-04-17,0,2,4903326.0,2451663.0,2,2,0
2003-02-28,0,2,1398582.0,699291.0,2,1,0
2003-05-26,0,2,4251286.0,2125643.0,2,2,0
2003-06-24,0,2,2990116.0,1495058.0,2,1,0
2002-11-07,0,2,6784158.0,3392079.0,2,2,0
2003-04-21,0,2,4323940.0,2161970.0,2,2,0
2003-04-02,0,2,5179989.0,2589994.5,2,2,0
2003-07-20,0,2,1979020.0,989510.0,2,2,0
2003-05-18,0,2,5164458.0,2582229.0,2,1,0
2003-06-18,0,2,5214472.0,2607236.0,2,2,0
2003-03-30,0,2,3838793.0,1919396.5,2,2,0
2003-02-16,0,2,5133659.0,2566829.5,2,1,0
2002-10-29,0,2,1045317.0,522658.5,2,2,0
2003-03-12,0,2,2707925.0,1353962.5,2,2,0
2003-05-17,0,2,3905393.0,1952696.5,2,2,0
2002-10-18,0,2,2446530.0,1223265.0,2,1,0
2003-03-14,0,2,2171447.0,1085723.5,2,1,0
2002-10-30,0,2,2994853.0,1497426.5,2,2,0
2003-05-21,0,2,1149032.0,574516.0,2,2,0
2003-04-03,0,2,3584506.0,1792253.0,2,1,0
2003-04-28,0,2,1606012.0,803006.0,2,2,0
2003-01-25,0,2,4525317.0,2262658.5,2,1,0
2003-01-10,0,2,1137450.0,568725.0,2,2,0
2003-06-10,0,2,3240454.0,1620227.0,2,2,0
2002-12-27,0,2,4245495.0,2122747.5,2,2,0
2003-01-08,0,2,4991774.0,2495887.0,2,1,0
2002-11-28,0,2,3080669.0,1540334.5,2,2,0
2002-11-26,0,2,1.3334035E7,6667017.5,2,2,0
2003-06-02,0,2,3131474.0,1565737.0,1,1,0
2002-12-16,0,2,5768062.0,2884031.0,1,1,0
2003-04-14,0,2,2464693.0,1232346.5,2,1,0
2003-03-13,0,2,4346842.0,2173421.0,2,2,0
2003-01-19,0,2,6171868.0,3085934.0,2,1,0
2002-11-17,0,2,6669387.0,3334693.5,2,1,0
2002-11-29,0,2,5575108.0,2787554.0,2,2,0
2003-04-20,0,2,1740526.0,870263.0,2,1,0
2003-01-20,0,2,4235493.0,2117746.5,1,1,0
2003-02-18,0,2,4315517.0,2157758.5,2,1,0
2003-01-21,0,1,1032154.0,1032154.0,1,1,0
2003-05-24,0,1,937652.0,937652.0,1,1,0
2003-07-27,0,1,4161259.0,4161259.0,1,1,0
2003-03-20,0,1,125038.0,125038.0,1,1,0
2003-02-19,0,1,2561565.0,2561565.0,1,1,0
2003-02-14,0,1,1419640.0,1419640.0,1,1,0
2003-03-08,0,1,3627414.0,3627414.0,1,1,0
2003-06-08,0,1,2272003.0,2272003.0,1,1,0
2003-07-18,0,1,941074.0,941074.0,1,1,0
2003-02-09,0,1,269555.0,269555.0,1,1,0
2003-01-05,0,1,777867.0,777867.0,1,1,0
2003-05-07,0,1,2690814.0,2690814.0,1,1,0
2003-06-16,0,1,1266436.0,1266436.0,1,1,0
2003-02-24,0,1,197955.0,197955.0,1,1,0
2002-10-22,0,1,4329995.0,4329995.0,1,1,0
2003-04-27,0,1,1319347.0,1319347.0,1,1,0
2002-10-20,0,1,1079800.0,1079800.0,1,1,0
2003-01-13,0,1,1563105.0,1563105.0,1,1,0
2003-07-13,0,1,291930.0,291930.0,1,1,0
2003-01-22,0,1,2884820.0,2884820.0,1,1,0
2003-04-22,0,1,833410.0,833410.0,1,1,0
2003-06-21,0,1,1162720.0,1162720.0,1,1,0
2003-03-03,0,1,2826908.0,2826908.0,1,1,0
2003-03-19,0,1,3297314.0,3297314.0,1,1,0
2003-01-15,0,1,2018242.0,2018242.0,1,1,0
2003-03-18,0,1,3539492.0,3539492.0,1,1,0
2002-12-09,0,1,3534227.0,3534227.0,1,1,0
2003-03-22,0,1,966608.0,966608.0,1,1,0
2003-07-03,0,1,3845637.0,3845637.0,1,1,0
2003-04-06,0,1,4161522.0,4161522.0,1,1,0
2002-12-06,0,1,2101425.0,2101425.0,1,1,0
2003-01-03,0,1,3255196.0,3255196.0,1,1,0
2003-03-11,0,1,1031365.0,1031365.0,1,1,0
2002-12-22,0,1,1414639.0,1414639.0,1,1,0
2003-06-09,0,1,1055319.0,1055319.0,1,1,0
2003-03-09,0,1,955816.0,955816.0,1,1,0
2002-10-17,0,1,3002224.0,3002224.0,1,1,0
2003-06-30,0,1,1014518.0,1014518.0,1,1,0
2002-12-04,0,1,2353080.0,2353080.0,1,1,0
2003-04-26,0,1,3610040.0,3610040.0,1,1,0
2002-12-05,0,1,261132.0,261132.0,1,1,0
2002-12-18,0,1,3412349.0,3412349.0,1,1,0
2003-06-11,0,1,1124551.0,1124551.0,1,1,0
2002-10-10,0,1,3739553.0,3739553.0,1,1,0
2002-12-31,0,1,1114285.0,1114285.0,1,1,0
2003-06-23,0,1,2703713.0,2703713.0,1,1,0
2003-06-05,0,1,1944273.0,1944273.0,1,1,0
2003-03-17,0,1,1492030.0,1492030.0,1,1,0
2003-07-26,0,1,1924003.0,1924003.0,1,1,0
2003-03-26,0,1,331153.0,331153.0,1,1,0
2003-02-07,0,1,665201.0,665201.0,1,1,0
2003-04-11,0,1,3512115.0,3512115.0,1,1,0
2003-07-15,0,1,1319083.0,1319083.0,1,1,0
2002-11-13,0,1,1682088.0,1682088.0,1,1,0
2002-12-29,0,1,4216276.0,4216276.0,1,1,0
2003-06-27,0,1,3310212.0,3310212.0,1,1,0
2003-07-22,0,1,164260.0,164260.0,1,1,0
2003-07-24,0,1,3566606.0,3566606.0,1,1,0
2003-04-15,0,1,1644972.0,1644972.0,1,1,0
2003-05-06,0,1,3178857.0,3178857.0,1,1,0
2002-12-14,0,1,3840636.0,3840636.0,1,1,0
2002-10-12,0,1,4447662.0,4447662.0,1,1,0
2003-01-26,0,1,993459.0,993459.0,1,1,0
2003-01-16,0,1,961607.0,961607.0,1,1,0
2003-05-20,0,1,371428.0,371428.0,1,1,0
2003-06-19,0,1,774182.0,774182.0,1,1,0
2003-07-14,0,1,225068.0,225068.0,1,1,0
2003-02-25,0,1,973189.0,973189.0,1,1,0
2003-01-31,0,1,3039867.0,3039867.0,1,1,0
